"PATH";"/System/Characts/Ings";;;;;;
"TYPE";"bcpg:ing";;;;;;
"COLUMNS";"cm:name";"cm:description";"bcpg:ingType";"bcpg:ingCEECode";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en"
"VALUES";"benzyl acetate";"note fleurie, fruitée (banane)";"Ingrédient";;"benzyl acetate";"benzyl acetate";"benzyl acetate"
"VALUES";"benzyl alcohol";"note amandée";"Ingrédient";;"benzyl alcohol";"benzyl alcohol";"benzyl alcohol"
"VALUES";"benzyl benzoate";"note amandée";"Ingrédient";;"benzyl benzoate";"benzyl benzoate";"benzyl benzoate"
"VALUES";"benzyl salicylate";"note 'solaire'";"Ingrédient";;"benzyl salicylate";"benzyl salicylate";"benzyl salicylate"
"VALUES";"BHA";"ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur";"Ingrédient";;"BHA";"BHA";"BHA"
"VALUES";"BHT";"ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur";"Ingrédient";;"BHT";"BHT";"BHT"
"VALUES";"bisabolol";"conditionneur, apaisant";"Ingrédient";;"bisabolol";"bisabolol";"bisabolol"
"VALUES";"borago officinalis seed oil";"émollient, conditionneur, anti-âge, apport en omega-3 et omega-6";"Ingrédient";;"borago officinalis seed oil";"borago officinalis seed oil";"borago officinalis seed oil"
"VALUES";"boswellia carterii oil";"reconstituant";"Ingrédient";;"boswellia carterii oil";"boswellia carterii oil";"boswellia carterii oil"
"VALUES";"butyl methoxydibenzoylmethane";"protège la peau des rayonnements nocifs du soleil";"Ingrédient";;"butyl methoxydibenzoylmethane";"butyl methoxydibenzoylmethane";"butyl methoxydibenzoylmethane"
"VALUES";"butyl paraben";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"butyl paraben";"butyl paraben";"butyl paraben"
"VALUES";"butylene glycol";"contribue à l'hydratation de la peau, solvant pour des extraits végétaux ou des poudres, présente une petite activité biocide";"Ingrédient";;"butylene glycol";"butylene glycol";"butylene glycol"
"VALUES";"butylphenyl methylpropional";"note fleurie aqueuse";"Ingrédient";;"butylphenyl methylpropional";"butylphenyl methylpropional";"butylphenyl methylpropional"
"VALUES";"butyrospermum parkii (shea butter)";"nourrissant, réparateur, relipidant, conditionneur, épaississant";"Ingrédient";;"butyrospermum parkii (shea butter)";"butyrospermum parkii (shea butter)";"butyrospermum parkii (shea butter)"
"VALUES";"C12-15 alkyl lactate";"conditionneur, émollient";"Ingrédient";;"C12-15 alkyl lactate";"C12-15 alkyl lactate";"C12-15 alkyl lactate"
"VALUES";"C12/15 alkyl benzoate";"conditionneur, émollient";"Ingrédient";;"C12/15 alkyl benzoate";"C12/15 alkyl benzoate";"C12/15 alkyl benzoate"
"VALUES";"C13-14 isoparaffin";"solvant, corps gras+D43";"Ingrédient";;"C13-14 isoparaffin";"C13-14 isoparaffin";"C13-14 isoparaffin"
"VALUES";"calcium carbonate";"poudre donnant de l'adhérence au produit";"Ingrédient";;"calcium carbonate";"calcium carbonate";"calcium carbonate"
"VALUES";"camelia sinensis";"drainant";"Ingrédient";;"camelia sinensis";"camelia sinensis";"camelia sinensis"
"VALUES";"cannabis sativa seed oil";"émollient, conditionneur, anti-âge, raffermissante, réparatrice";"Ingrédient";;"cannabis sativa seed oil";"cannabis sativa seed oil";"cannabis sativa seed oil"
"VALUES";"capric acid";"tensio-actif";"Ingrédient";;"capric acid";"capric acid";"capric acid"
"VALUES";"caprylic acid";"tensio-actif";"Ingrédient";;"caprylic acid";"caprylic acid";"caprylic acid"
"VALUES";"caprylic/capric glycerides";"émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce";"Ingrédient";;"caprylic/capric glycerides";"caprylic/capric glycerides";"caprylic/capric glycerides"
"VALUES";"caprylic/capric succinic triglycerides";"émollient";"Ingrédient";;"caprylic/capric succinic triglycerides";"caprylic/capric succinic triglycerides";"caprylic/capric succinic triglycerides"
"VALUES";"caprylic/capric triglycerides";"émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce";"Ingrédient";;"caprylic/capric triglycerides";"caprylic/capric triglycerides";"caprylic/capric triglycerides"
"VALUES";"caramel";"donne une couleur jaune pâle à brun selon le dosage";"Ingrédient";;"caramel";"caramel";"caramel"
"VALUES";"carbomer";"gélifier les phases aqueuses, épaissir, augmenter la viscosité";"Ingrédient";;"carbomer";"carbomer";"carbomer"
"VALUES";"cellulose";"absorbant, épaississant";"Ingrédient";;"cellulose";"cellulose";"cellulose"
