VALUES;CIQUAL23941;Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré;Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré;Mini pound cake with fruit filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23950;Muffin, aux myrtilles ou au chocolat;Muffin, aux myrtilles ou au chocolat;Muffin, blueberry or chocolate;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL24000;Biscuit sec, tout type;Biscuit sec, tout type;Biscuit (cookie);CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24002;Biscuit sec à  teneur garantie en vitamines;Biscuit sec à  teneur garantie en vitamines;Biscuit (cookie), vitamin enriched;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24003;Biscuit sec à  teneur garantie en vitamines et minéraux;Biscuit sec à  teneur garantie en vitamines et minéraux;Biscuit (cookie), vitamin and mineral enriched;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24004;Biscuit sec aux fruits, hyposodé;Biscuit sec aux fruits, hyposodé;Biscuit (cookie) with fruit, low sodium;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24007;Biscuit sec croquant au chocolat, allégé en matière grasse;Biscuit sec croquant au chocolat, allégé en matière grasse;Biscuit (cookie), light, chocolate;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24010;Biscuit sec, avec matière grasse végétale;Biscuit sec, avec matière grasse végétale;Biscuit (cookie), plain;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24015;Biscuit sec petit beurre;Biscuit sec petit beurre;Biscuit (cookie), butter, sweet;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24016;Biscuit sec avec tablette de chocolat;Biscuit sec avec tablette de chocolat;Biscuit (cookie) with chocolate square;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24031;Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;Biscuit (cookie), light, without chocolate;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24034;Biscuit sec pour petit déjeuner;Biscuit sec pour petit déjeuner;Breakfast biscuit (cookie), dry;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24036;Biscuit sec chocolaté, préemballé;Biscuit sec chocolaté, préemballé;Biscuit (cookie), chocolat;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24037;Biscuit sec fourré à  la pâte ou purée de fruits;Biscuit sec fourré à  la pâte ou purée de fruits;Biscuit (cookie) with fruit filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24038;Biscuit sec avec nappage chocolat;Biscuit sec avec nappage chocolat;Biscuit (cookie), chocolate-covered;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24040;Biscuit sec pour petit déjeuner, au chocolat;Biscuit sec pour petit déjeuner, au chocolat;Breakfast biscuit (cookie), with chocolate, dry;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24049;Biscuit sec au beurre, sablé, galette ou palet;Biscuit sec au beurre, sablé, galette ou palet;Biscuit (cookie), shortbread, commercial;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24225;"Goûter sec fourré (sandwiché"") parfum lait ou vanille""";"Goûter sec fourré (sandwiché"") parfum lait ou vanille""";Biscuit (cookie), sandwich type, with vanilla or milk filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24231;"Goûter sec fourré (sandwiché"") parfum chocolat""";"Goûter sec fourré (sandwiché"") parfum chocolat""";Biscuit (cookie), snack with chocolate filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24310;Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisetteâŠ);Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisetteâŠ);Biscuit (cookie), wafer with filling;CIQUAL;Pâtisseries et biscuits
