STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL40406;210;24,5;325;259;15,5;0,137;12,2;0,51;3,95;0;10;24,1;24,1;0;0;593;141;0;593;141;0;0;68,5;4,96;1,66;0,77;1,02;124;0;0;0,41;10,5;0,455;2,18;7,8;3,57;0,21;79;80;0;0;588
VALUES;CIQUAL40408;0;0;0;0;0;0;5;0;4,9;0;10;26;26;0;0;701;167;0;701;167;0;0;67,7;7;1,33;0,799;0,865;260;0;0;1,2;0;0,5;0;6,3;5,6;0,55;42;0;0;0;396
VALUES;CIQUAL40402;198;16;236;235;10,2;0,16;6,87;0,51;1,56;118;8,73;15,3;15,3;0,85;0,8;373;88,5;0;373;88,5;0;0;79,8;2,65;0,503;0,303;0,328;238;0;0,7;0,7;13,1;0,382;2,39;7,91;3,91;0,356;21,1;71,6;0;0;378
VALUES;CIQUAL40403;94;12;304;135;19;0,185;7,65;0,564;2,97;0;10;27,1;27,1;;0;676;161;0;676;161;0;0;66,9;5,82;1,72;0,836;0,753;0;0;1,11;1,03;0;0,295;2,97;5,21;1,95;0,526;25,5;83;0;0;576
VALUES;CIQUAL40401;57,4;7,01;138;76,6;7,96;0,0756;6,79;0,243;4,18;0;10;26,1;26,1;0;0;679;162;0;679;162;0;0;67,6;6,36;1,49;0,806;0,852;161;0;0,344;1,04;1,42;0,431;1,21;6,16;4,2;0,497;41,9;36,4;0;0;477
VALUES;CIQUAL40405;80;18;240;143;13;0,149;5,29;0,683;4,15;0;10;25,4;25,4;;0;606;144;0;606;144;0;0;68,7;4,7;1,51;1,55;0,38;78;0;0;0;10,6;0,396;1,59;5,78;2,87;0,46;7,79;41;0;0;480
VALUES;CIQUAL19011;32,7;7,6;60;91,2;74,7;1;1;0,007;1;5;15;1,9;1,86;7,41;0;254;60,5;0;254;60,6;0;0;87,6;2,6;0;0;0;56;50;1,4;0,65;0;0,06;0,23;0,84;0,39;0,1;0,31;14,7;0;0;3
VALUES;CIQUAL16550;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3690;898;0;3690;898;0;0;0,2;99,8;33,2;49,3;12,9;0;0;4,8;0;0;0;0;0;0;0;0;0;0;0;100
VALUES;CIQUAL16560;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3690;898;0;3690;898;0;0;0,2;99,8;27,7;56,7;11;144;0;0;2,7;0;0;0;0;0;0;0;0;0;0;100
VALUES;CIQUAL17630;0,01;0,04;0;0;0,575;0,001;0,037;0,0035;0,03;0,005;400;0;0;0;0;3700;900;0;3700;900;0;0;0;100;22;46,5;24,3;30000;0;250;30;0;0;0;0;0;0;0;0;0;0;510
