COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Polyols totaux;Résidu à sec;Alcool (éthanol);Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n-9), oléique;AG 18:2 9c,12c (n-6), linoléique;AG 18:3 c9,c12,c15 (n-3), alpha-linolénique;AG 20:4 5c,8c,11c,14c (n-6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n-3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;Cholestérol;Sel;Calcium;Chlorure;Cuivre;Fer;Iode;Magnésium;Manganèse;Phosphore;Potassium;Sélénium;Sodium;Zinc;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;19410;CIQUAL;Crèmes et spécialités à base de crème;Crème de lait, 30% MG, épaisse, rayon frais;Crème de lait, 30% MG, épaisse, rayon frais;1340;323;1340;324;56,6;2,47;2,42;9,4;30,5;2,8;0,2;0;0;0,53;0;0,55;21,8;6,39;0,65;1,23;0,73;0,45;1,01;1,16;3,68;9,44;3,28;6,39;0,47;0,15;0,025;0,015;0;94,8;0,066;76,9;73,7;0,0075;0,08;10,8;7,92;0,0018;64;101;2,2;26,5;0,24;195;73;0,2;0,5;0;;0,5;0,024;0,17;0,16;0,24;0,034;23,5;0,12
VALUES;19415;CIQUAL;Crèmes et spécialités à base de crème;Crème de lait, 30% MG, liquide, UHT;Crème de lait, 30% MG, liquide, UHT;;;;;58,3;2,11;2,07;3,15;32,1;2,83;0;0;0;0,45;0;;20,4;9,89;1,13;1,04;0,57;0,38;0,88;0,94;3,58;9,51;3,49;5,87;0,44;0,12;;0,016;0;104;0,087;67;59;0,0083;0,041;10,8;6,93;0,0025;59,3;89,5;1,29;33,2;0,24;329;66;0,51;0,97;2,95;;0,7;0,027;0,14;0,055;0,23;0,024;7,4;0,32
VALUES;19420;CIQUAL;Crèmes et spécialités à base de crème;Crème chantilly, sous pression, UHT;Crème chantilly, sous pression, UHT;;;;;61,3;2,58;2,52;11,3;24,4;9,67;;0;0;0,76;0;;15,8;6,36;0,83;0,72;0,43;0,25;0,56;0,8;2,56;6,82;2,69;5,19;0,46;0,14;0,02;0,024;0;79;0,052;101;;0,01;0,05;11;11;0,001;89;147;;20,7;0,37;184;43;0,4;0,64;1,9;;0;0,037;0,065;0,07;0,31;0,041;3;0,29
VALUES;19430;CIQUAL;Crèmes et spécialités à base de crème;Crème de lait, 15 à 20% MG, légère, liquide, UHT;Crème de lait, 15 à 20% MG, légère, liquide, UHT;;;;;77;2,64;2,58;4,5;14,6;4,5;0;0;0;0,6;0;;9,97;3,58;0,38;0,5;0,26;0,17;0,37;0,51;1,58;4,26;1,32;3,05;0,25;0,1;;;;38,8;0,12;99;80;0,007;0,04;12;10;0,007;84;128;1,3;49,1;0,35;113;;0,18;0,34;0;;0,5;0,036;0,19;0,08;0,3;0,047;12;0,37
VALUES;19431;CIQUAL;Crèmes et spécialités à base de crème;Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais;Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais;;;;;75;3,2;3,13;4,6;15,6;3,5;0;0;0;0,63;0;;10,2;4,07;0,48;0,49;0,33;0,21;0,49;0,6;1,79;4,76;1,52;3,36;0,3;0,1;;0,0059;;61;0,095;98;80;0,007;0,22;10,8;9;0,007;73;117;1,29;38;0,34;189;105;0,2;0,28;0;;;0,037;0,23;0,2;0,3;0,044;34;0,24
VALUES;19433;CIQUAL;Crèmes et spécialités à base de crème;Spécialité à base de crème légère 8% MG, fluide ou épaisse;Spécialité à base de crème légère 8% MG, fluide ou épaisse;;;;;83;2,82;2,76;6,6;8,53;;;0;0;0,6;0;;5,46;2,34;0,26;0,28;0,28;0,15;0,27;0,3;0,88;2,4;0,89;2,08;0,18;0,078;;0;0;30;0,1;105;;0,007;0,04;10,6;10;0,007;80;140;1,3;40;0,34;76,9;;0,14;0,23;0;;0,9;0,04;0,17;0,08;0,3;0,04;13;0,25
VALUES;19508;CIQUAL;Yaourts et spécialités laitières type yaourts;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;312;73,7;313;73,9;82,4;3,14;3,08;11,4;1,4;11,4;0,35;0,028;0;0,6;0;1;0,95;0,2;0,015;0,044;0,026;0,019;0,033;0,042;0,14;0,43;0,15;0,2;0,013;0,0024;0,00066;0,00066;0,00066;5,46;0,084;120;88,3;0,01;0,12;20;11;0,01;82;140;20;32;0,42;21;7;0,75;0,08;0,8;;0,5;0,038;0,14;0,1;0,33;0,029;5,12;0,2
VALUES;19535;CIQUAL;Yaourts et spécialités laitières type yaourts;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;350;82,8;351;83,1;;3,09;3,03;13,1;1,69;12,8;;0,079;0;0,8;0;1;1,06;;;;;;;;;;;;;;;;;;0,12;133;;0,004;0,13;11;10;0,002;82;116;1;46,9;0,3;15;7;0,75;0,05;;;0,5;0,031;0,16;0,11;0,29;0,05;28;0,07
VALUES;19537;CIQUAL;Yaourts et spécialités laitières type yaourts;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré;274;64,9;275;65,2;84,4;2,93;2,88;9,29;1,48;9,29;0;0;0;0,9;0;1;0,93;;;;;;;;;;;;;;;;;;0,1;117;75;0,01;0,1;11;11;;81;138;1;40;0,3;;7;0,75;;;;0;0,03;0,16;0,09;0,19;0,21;12;0,2
VALUES;19538;CIQUAL;Yaourts et spécialités laitières type yaourts;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;;;;;83,4;2,76;2,7;12,9;1,6;12,9;0;0,05;0;0,61;0;;1,05;0,22;0,025;0,048;0,034;0,021;0,053;0,067;0,18;0,49;0,14;0,22;0,019;0,0049;;0,00036;;5;0,1;99,1;70;0,1;0,1;9,6;7,8;0,1;66;112;5;40;0,3;8;8;0,5;0,015;;;0,5;0,021;0,14;0,07;0,23;0,036;8,9;0,095
