COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Sodium;Chlorure;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;13412;CIQUAL;fruits;Table Ciqual 2020;Jus de corossol, prélevé à la Martinique;Jus de corossol, prélevé à la Martinique;0;;0;;84;0,65;0,65;;0,43;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,3;;;;;;;
VALUES;13413;CIQUAL;fruits;Table Ciqual 2020;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;0;;0;;84,4;1,08;1,08;;0,37;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,3;;;;;;;
VALUES;13414;CIQUAL;fruits;Table Ciqual 2020;Jus de grenade, prélevée à la Martinique;Jus de grenade, prélevée à la Martinique;0;;0;;87;0,69;0,69;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,8;;;;;;;
VALUES;13415;CIQUAL;fruits;Table Ciqual 2020;Jus de lime, pur jus, prélevé à la Martinique;Jus de lime, pur jus, prélevé à la Martinique;0;;0;;92,4;0,35;0,35;;0,57;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,5;;;;;;;
VALUES;13416;CIQUAL;fruits;Table Ciqual 2020;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;0;;0;;;;;;;9,4;;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,7;;;;;;59,5;
VALUES;13417;CIQUAL;fruits;Table Ciqual 2020;Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;0;;0;;90;0,61;0,61;8,63;0,57;8,63;;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;102;;;;;;;;;50;;;;;26,7;;;;;;39,9;
VALUES;13418;CIQUAL;fruits;Table Ciqual 2020;Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;0;;0;;88,2;0,6;0,6;10,8;0;3,87;;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;;;;;;90;;;;;6;;;;;;31,3;
VALUES;13419;CIQUAL;fruits;Table Ciqual 2020;Jus de moubin, pur jus, prélevé à la Martinique;Jus de moubin, pur jus, prélevé à la Martinique;0;;0;;85,5;0,88;0,88;;0,19;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,1;;;;;;;
VALUES;13420;CIQUAL;fruits;Table Ciqual 2020;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;0;;0;;92,3;0,42;0,42;;0,19;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,6;;;;;;;
VALUES;13421;CIQUAL;fruits;Table Ciqual 2020;"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";0;;0;;91,1;0,29;0,29;7,13;0,19;4,34;2,45;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,5;;;;;;;
