COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;10009;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Homard, cuit à l'eau;Homard, cuit à l'eau;440;104;440;104;74,3;22,1;22,1;0,3;1,6;0;0;0;0;0;;0,2;0,3;0,6;0;0;0;0;0;0;0,1;0;0,191;0,0403;0,057;0,006;0,227;0,114;110;350;34,1;260;260;66,5;0,138;0,8;1,31;2,8;130;100;0;0;0;1,47;0;;0;0,08;0,05;1,5;1;0,08;9;3
VALUES;10035;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Huître creuse, crue;Huître creuse, crue;177;42,1;177;42,1;87,2;6,36;6,36;0,795;1,5;0;0;0;0;0;;0,337;0,228;0,347;;;;;0,000106;0,0436;0,214;0,0524;0,0394;0,015;0,0118;;0,147;0,0712;20,3;580;81,9;94,6;215;74,6;0,471;2,25;1,46;21,3;44;87,9;14,2;0;0,5;1,21;;;5;0,105;0,153;7,29;0,646;0,0954;3;24,1
VALUES;10022;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Langouste, cuite à l'eau;Langouste, cuite à l'eau;573;136;573;136;66,8;26,4;26,4;3,11;1,94;0;0;0;0;0;;0,297;0,346;0,747;0;0;0;0;0;0,00785;0,188;0,101;0;0;0;0;0,227;0,0997;80;227;51;229;208;63;0,018;1,41;0,415;7,27;;65;10,5;0;0,5;1,5;;;2,1;0,009;0,056;4,9;0,404;0,173;1;4,04
VALUES;10013;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Moule, cuite à l'eau;Moule, cuite à l'eau;483;114;483;114;73,3;17,1;17,1;7,4;1,81;0;0;0;0;0;;0,526;0,357;0,844;;;;;0,00128;0,0839;0,298;0,0459;0,0381;0,0228;0,0306;0,01;0,34;0,214;54;376;78,9;192;187;69,1;0,244;5,47;0,24;2,88;58,4;195;82;;0;2,41;0;;0;0,02;0,305;1,19;0,298;0,0467;37;18,3
VALUES;10018;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Poulpe, cru;Poulpe, cru;362;85,5;362;85,5;82,1;17,9;17,9;1,45;0,9;0;0,2;0;0;0;;0,259;0,173;0,432;0;0;0;;0;0,0125;0,148;0,05;;;;;0,076;0,081;48;136;0;170;230;33;0,02;1,2;0,4;1,7;75;20;5;0;0;0;0,1;;0;0,07;0,07;5;0;0,36;0;0
VALUES;10016;CIQUAL;Crustacés et mollusques non transformés;Table Ciqual 2013;Seiche, crue;Seiche, crue;312;73,5;312;73,5;80,8;16,1;16,1;0,7;0,7;0;0;0;0;0;;0,2;0,1;0,2;0;0;0;;0;0;0,1;0,1;0,0464;0,00564;0,00588;0,0272;0,0463;0,115;110;370;0;270;310;59;0,01;3,4;0,59;1,2;65;21;0;0;0;0;;;0;0,04;0,48;3,7;0;0,39;13;2
VALUES;18350;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Boisson diététique pour le sport;Boisson diététique pour le sport;95,9;22,6;95,9;22,6;94,2;0;0;5,6;0,02;3,73;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;;;;;0;0;0;47,7;1;1,5;6,87;0;0;0,00833;0,00333;0,00333;0;0,833;0;0;0;0;0;;1,05;0;0;0;0;0;0;0
VALUES;42500;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Farine bouillie petit déjeuner bébé;Farine bouillie petit déjeuner bébé;375;89,2;375;89,2;80,9;2,53;2,53;13,3;2,76;7,3;6;1;0;0;;1,37;0,777;0,499;0,0195;0,01;0,0445;0,042;0,191;0,136;0,746;0,183;0,777;0,457;0,041;0,003;;;1,2;28,4;10,5;16,8;109;85;0,1;0,5;0,1;0,7;5;15;72;36;1,75;1,7;;;6,2;0,132;0,3;0,7;0,54;0,134;18;0,24
VALUES;42003;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Substitut de repas hypocalorique, à boire, tout arôme;Substitut de repas hypocalorique, à boire, tout arôme;379;90;382;90,6;79;6,4;6,27;10,6;2,45;5,62;2,5;0,5;0;0;;0,298;0,536;1,52;;;;;;;;;;1,3;;;;;6,7;76,1;20,3;112;213;124;20,3;2,2;0,1;2;9,55;20,3;103;;0,91;3,92;;;20,3;0,418;0,405;2,72;1,74;0,621;36,7;0,205
VALUES;42000;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Substitut de repas hypocalorique, crème dessert ultra frais, toute arôme;Substitut de repas hypocalorique, crème dessert ultra frais, toute arôme;381;90,6;383;91,1;79,6;6,3;6,17;9,44;2,88;6,79;2,5;1,13;0;0;;0,98;0,44;0,81;;;;;;;;;;0,667;;;;;10;85,6;30,4;114;246;120;0,176;2,28;0,226;1,8;7,88;28,9;151;;0,88;1,68;;;6,48;0,174;0,274;2,64;0,524;0,22;34,9;0,222
VALUES;42004;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, tout arôme;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, tout arôme;337;80;339;80,5;80,6;6,05;5,93;9,61;1,72;9,12;0,49;1,2;0;0;;0,207;0,483;0,966;;;;;;;;;;0,4;;;;;10;172;30;212;237;160;0,2;2,15;0,17;1,5;7,7;17,1;93;;0,7;1,3;;;4,85;0,15;0,22;2,3;0,6;0,2;26,3;0,33
VALUES;42005;CIQUAL;Denrées destinées à une alimentation particulière;Table Ciqual 2013;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milkshake, tout arôme;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milkshake, tout arôme;366;87;369;87,5;80;6,03;5,91;10,3;2,32;10,1;0,2;0,633;0;0;;0,291;0,678;1,26;;;;;;;;;;0,4;;;;;10;91;30,7;148;254;177;0,2;2,25;0,353;2,78;7,8;17;78;;0,7;1,5;;;6,69;0,17;0,215;2,7;0,4;0,3;33,6;0,343
VALUES;39700;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème anglaise;Crème anglaise;465;110;465;110;75,6;2,76;2,76;17,7;3,17;13,5;1,93;0;0;0;;1,98;0,794;0,0627;0,08;0,05;0,03;0,07;0,105;0,334;0,92;0,3;0,606;0,0104;0,0104;0;0;0;12;64,4;10,1;89;123;101;0;1;0,02;0,6;3;46;2;364;0,2;0,1;;;0,89;0,05;0,16;0,1;0,46;0,05;5;0,21
VALUES;39213;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème brûlée;Crème brûlée;1250;300;1250;301;54,6;4,33;4,25;16,2;24,3;15,4;0;0;0;0;;17,3;6;0,666;0,839;0,541;0,329;0,674;0,878;2,81;7,49;2,38;4,32;0,337;0,132;0,023;0,01;0;153;39,6;7,6;97;104;67,1;0,1;0,8;0,1;0,6;5;9,75;174;64;0,5;1,17;;;0,5;0,04;0,187;0,16;0,59;0,042;19,8;0,335
VALUES;39209;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème caramel;Crème caramel;574;136;576;136;68,4;4,41;4,32;23,6;2,67;20;2,12;0,1;0;0;;1,22;0,646;0,0825;0,02;0,01;0,01;0,03;0,0688;0,206;0,578;0,17;0,412;0,0137;0,0175;0;0;0;12;173;10,9;77;147;92,5;0,00727;0,316;0,0156;0,309;5;23,7;37;8;0,07;0,16;;;0;0,03;0,2;0,1;0,5;0,03;8;0,3
VALUES;19420;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème chantilly sous pression, UHT;Crème chantilly sous pression, UHT;1180;285;1180;285;61,3;2,26;2,21;9,56;26,4;8;0;0;0;0;;16,6;6,62;0,873;0,99;0,56;0,32;0,66;0,895;2,67;7,19;2,35;4,79;0,426;0,13;0,02;0,0222;0;79;130;11;89;147;101;0,001;0,05;0,01;0,37;;11;184;43;0,4;;1,9;;0;0,037;0,065;0,07;0,305;0,041;3;0,29
VALUES;39214;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert à la vanille, appertisée;Crème dessert à la vanille, appertisée;516;123;518;123;74;3,5;3,43;16,7;4,6;14,4;2,34;0,5;0;0;;1,88;0,842;0,105;0,122;0,0731;0,0407;0,0815;0,0933;0,287;0,763;0,35;0,584;0,0468;0,0157;0;0;0;12;66,5;10;80;134;141;0,05;0,8;0,05;0,6;1,1;14;33;3;0,1;0,1;;;0,2;0,04;0,22;0,3;0,52;0,06;22;0,1
VALUES;39229;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert à la vanille, rayon frais;Crème dessert à la vanille, rayon frais;534;127;538;128;71,2;3,64;3,39;19,3;4;15,4;2,7;0,042;0;0;;1,98;0,975;0,1;0,0985;0,0622;0,0444;0,0997;0,122;0,389;0,9;0,349;0,975;0,078;0,023;0;0;0;42;53,3;1,21;84,1;131;117;1;0,1;0,1;0,5;1;4,9;54;128;0,5;0,53;;;0,5;0,04;0,15;0,16;0,37;0,053;24;0,206
VALUES;39224;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert allégée en matière grasse, rayon frais;Crème dessert allégée en matière grasse, rayon frais;371;87,5;374;88,1;78;3,8;3,64;16,7;0,679;12,5;2,32;0;0;0;;0,38;0,254;0,033;0,012;0,008;0,005;0,012;0,014;0,051;0,13;0,1;0,254;0,023;0,005;0,005;0,005;0,005;2,3;78,7;14,7;110;158;135;0,06;0,09;0;0,268;1;4,9;1,36;0;0,32;0,0214;;;1;0,0232;0,17;0,17;0,345;0,0316;8,3;0,27
VALUES;39506;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert au chocolat, appertisée;Crème dessert au chocolat, appertisée;596;141;597;142;67,6;3,8;3,72;22,9;3,65;16,8;2,75;1;0;0;;1,72;0,771;0,096;0,112;0,067;0,0372;0,0745;0,0854;0,263;0,697;0,32;0,534;0,0427;0,0142;0;0;0;3;57,3;27,9;80;314;98,1;0,19;2,2;0,17;0,75;5;6,1;11;0;0,03;0,13;;;2;0,03;0,16;0,3;0,175;0,03;3;0
VALUES;39200;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert au chocolat, rayon frais;Crème dessert au chocolat, rayon frais;575;137;591;140;71,2;4,1;3,21;19,5;5,07;16,3;2;0,214;0;0;;1,525;0,955;0,104;0,077;0,0527;0,0343;0,08;0,099;0,2;0,7;0,35;0,955;0,079;0,017;0,005;0,005;0,005;21,1;75,3;18,3;94,3;139;117;0,0851;0,03;0,0347;0,171;2,2;4,9;0,06;3;0,385;0,0118;;;0;0,0045;0,14;0,05;0,0008;0,003;3,67;0,186
VALUES;39211;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème dessert aux oeufs ou crème renversée;Crème dessert aux oeufs ou crème renversée;736;175;738;176;64,6;4,47;4,38;22,8;7,41;18,7;1,78;0;0;0;;5,28;1,83;0,203;0,256;0,165;0,1;0,206;0,268;0,856;2,28;0,727;1,32;0,103;0,04;0,007;0,003;0;183;51,2;6;42;150;98,7;0,1;0,5;0,1;0,7;5;14,7;77;147;0,5;0,3;;;;0,04;0,214;0,1;0,522;0,057;8;0,13
VALUES;39710;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Crème pâtissière;Crème pâtissière;500;118;500;118;72,1;2,9;2,9;22,8;1,7;16,5;3;0;0;0;;0,847;0,622;0,163;0,0571;0,0343;0,019;0,0381;0,0436;0,135;0,356;0,164;0,328;0,0263;0,00873;0;0;0;123;71;10;124;161;115;0,1;0,64;0,03;0,7;4;26;89,5;100;0,24;0,335;;;0,925;0,065;0,19;0,21;0,68;0,055;15;1
VALUES;39215;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Ile flottante;Ile flottante;583;138;585;139;69,7;4,67;4,58;21,3;3,76;19,3;2;1;0;0;;1,31;0,727;0,351;0,0255;0,015;0,009;0,0215;0,024;0,07;0,76;0,295;0,678;0,314;0,004;0,003;0;0;82,1;62,4;9,1;27,8;121;83,7;0,1;0,45;0,1;0,9;6;9,85;41;4;0,5;0,31;;;0,5;0,04;0,229;0,1;0,575;0,059;10,5;0,28
VALUES;39400;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Lait de poule, sans alcool;Lait de poule, sans alcool;389;92,6;390;92,9;81,2;3,8;3,73;10,2;4,1;8,4;0;0;0;0;;2,43;1,31;0,188;0,129;0,076;0,044;0,11;0,112;0,25;1,13;0,511;0,791;0,0633;0,021;0;0;0;55;56;9;90;120;89;0,005;0,3;0,013;0,46;;35;59;7;0,23;0,18;0,3;;0;0,04;0,17;0,1;0,44;0,05;9;0,6
VALUES;39132;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Lait gélifié aromatisé chocolat, rayon frais;Lait gélifié aromatisé chocolat, rayon frais;610;144;611;145;66,9;3,18;3,12;26;3,1;21,3;0,809;0;0;0;;1,93;0,895;0,107;0,104;0,062;0,035;0,039;0,0799;0,247;0,786;0,493;0,644;0,0563;0,0143;0,000164;0;0;7,8;42,9;20;86;220;102;0,1;1,15;0,11;0,55;5;7,8;22;9;0,2;0,055;;;0,5;0,027;0,16;0,22;0,34;0,028;20;0
VALUES;39221;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Lait gélifié aromatisé nappé de caramel, rayon frais;Lait gélifié aromatisé nappé de caramel, rayon frais;489;116;490;116;72,6;2,97;2,91;21,6;1,88;19,4;2,13;0,343;0;0;;0,956;0,434;0,0498;0,0298;0,0202;0,017;0,0295;0,0358;0,124;0,332;0,116;0,241;0,0248;0,00725;0,005;0,005;0,005;5,58;36,6;8,38;76;134;97,3;0,0023;0,06;0,011;0,305;4,5;10,9;7;5;0,2;0,03;;;0,5;0,032;0,17;0,16;0,31;0,045;23;0,09
VALUES;39000;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Milkshake, tout parfum;Milkshake, tout parfum;461;109;462;109;73,9;3,5;3,43;19,7;1,8;17,1;0;0,15;0;0;;1,14;0,523;0,0641;0,0667;0,0395;0,023;0,0346;0,0578;0,129;0,541;0,249;0,827;0,0575;0,00666;0;0;0;11;76;12,9;109;188;136;0;0,47;0,01;0,45;1,7;22;21,3;4,5;1,1;0,05;0,2;;0,333;0,0357;0,199;0,123;0,347;0,039;5,33;0,38
VALUES;39208;CIQUAL;Desserts lactés frais ou UHT;Table Ciqual 2013;Viennois ou liégeois, chocolat, café, caramel ou vanille, rayon frais;Viennois ou liégeois, chocolat, café, caramel ou vanille, rayon frais;649;155;651;156;71,2;3,3;3,23;15,9;8,76;14;1,93;0;0;0;;4,87;2,03;0,181;0,161;0,114;0,073;0,167;0,204;0,709;2,22;1,01;1,78;0,13;0,036;0,005;0,005;0,005;18,4;59,1;26;80;288;87,1;0,15;1,54;0,13;0,39;5;10,6;37;26;0,2;0,12;;;0,5;0,025;0,16;0,19;0,29;0,022;27;0,07
VALUES;76028;CIQUAL;Eaux;Table Ciqual 2013;Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,47;1,06;0,003;0,08;4,9;0,0001;0,001;0,0005;0,001;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;18066;CIQUAL;Eaux;Table Ciqual 2013;Eau du robinet;Eau du robinet;0;0;0;0;99,9;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,67;1,91;0;4,45;14,2;0,00187;0,0304;0,0171;0,0369;10;1,22;0;0;0;0;0;;0;0;0;0;0;0;0;0
VALUES;76000;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,25;0,9;0,003;0,3;1,74;0,0001;0,01;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76001;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale AixlesBains, embouteillée, non gazeuse, faiblement minéralisée  (AixlesBains, 73);Eau minérale AixlesBains, embouteillée, non gazeuse, faiblement minéralisée  (AixlesBains, 73);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,44;2,25;0,003;0,08;8,23;0,0001;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76002;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13;2,77;0,003;0,12;8,01;0,0001;0,001;0,0005;0,0016;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76003;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Alet, embouteillée, non gazeuse, faiblement minéralisée (Alet, 11);Eau minérale Alet, embouteillée, non gazeuse, faiblement minéralisée (Alet, 11);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,16;2,31;0,003;0,16;6;0,0001;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76004;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Amanda,  embouteillée, non gazeuse, fortement minéralisée (StAmand, 59);Eau minérale Amanda,  embouteillée, non gazeuse, fortement minéralisée (StAmand, 59);0;0;0;0;99,9;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5;6,6;0,003;0,61;24;0,0004;0,04;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76005;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale AmélielaReine, embouteillée, gazeuse, moyennement minéralisée (Cornillon, 38);Eau minérale AmélielaReine, embouteillée, gazeuse, moyennement minéralisée (Cornillon, 38);0;0;0;0;99,9;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,65;2,54;0,003;0,55;41,3;0,06;0,0007;0,009;0,007;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76079;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne);Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne);0;0;0;0;99,8;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;11;0;3;9;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76006;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Arcens, embouteillée, gazeuse, fortement minéralisée (Arcens, 07);Eau minérale Arcens, embouteillée, gazeuse, fortement minéralisée (Arcens, 07);0;0;0;0;99,8;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;3,82;0,003;1,08;2,18;0,015;0,0006;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76007;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Arvie, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);Eau minérale Arvie, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);0;0;0;0;99,7;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66,1;10;0,003;13,5;17,8;0,039;0,0006;0,0005;0,001;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76008;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Auvergne, embouteillée, gazeuse, fortement minéralisée (Cornillon, 38);Eau minérale Auvergne, embouteillée, gazeuse, fortement minéralisée (Cornillon, 38);0;0;0;0;99,9;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68;2,71;0,003;0,3;34;0,012;0,001;0,0028;0,0018;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76009;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Avène, embouteillée, non gazeuse, faiblement minéralisée (Avène, 34);Eau minérale Avène, embouteillée, non gazeuse, faiblement minéralisée (Avène, 34);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,51;2,1;0,003;0,07;4,1;0,0001;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76062;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce);Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,4;1;0;0,07;11,1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76061;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (StGalmier, 42);Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (StGalmier, 42);0;0;0;0;99,9;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,7;9,86;0,003;1,1;14,1;0,06;0,001;0,0005;0,0006;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76063;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg);Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,5;0;0,06;9,7;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76064;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Caramulo, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);Eau minérale Caramulo, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76010;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Celtic, embouteillée, non gazeuse, très faiblement minéralisée (Niederbronn, 67);Eau minérale Celtic, embouteillée, non gazeuse, très faiblement minéralisée (Niederbronn, 67);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;0,2;0,003;0,2;0,59;0,0001;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76011;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,03;0,61;0,003;0,3;9,47;0,0001;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76012;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,34;0,96;0,003;0,13;2,62;0,06;0,001;0,0016;0,007;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76013;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);0;0;0;0;99,8;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63,5;3,55;0,003;3,92;14,1;0,004;0,001;0,0005;0,0005;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76014;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);0;0;0;0;99,8;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,8;4,72;0,003;4,3;38,3;0,1;0,001;0,0005;0,004;1;0;0;0;0;0;;;0;0;0;0;0;0;0;0
VALUES;76065;CIQUAL;Eaux;Table Ciqual 2013;Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique);Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique);0;0;0;0;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,4;1,8;0;0,25;6,5;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0
