COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;13034;CIQUAL;Fruits frais;Table Ciqual 2013;Orange, fraîche, pulpe;Orange, fraîche, pulpe;197;46,5;197;46,5;87,1;0,957;0,957;8,32;0,26;8,32;0;1,82;0;0;1,13;0,0543;0,0633;0,1;0;0;0;;0;0;0,0473;0,00705;0,0633;0,0715;0,0285;;0;0;0,13;4,87;12,4;15,1;151;39;0,0556;0,106;0,04;0,0732;1,3;0,961;0;248;0;0,395;0,1;0;39,7;0,0777;0,0407;0,261;0,215;0,0807;38,7;0
VALUES;13035;CIQUAL;Fruits frais;Table Ciqual 2013;Papaye, fraîche, pulpe;Papaye, fraîche, pulpe;183;43,3;183;43,3;87,7;0,557;0,557;7,81;0,22;7,81;0;2,03;0;0;1,25;0,068;0,061;0,048;0;0;0;0;0,00171;0,008;0,0549;0,00343;0,038;0,00945;0,0385;0;0;0;0;5,67;33;11,1;193;22,5;0,0255;0,483;0,0305;0,118;;0,8;0;542;0;1,12;2,6;;59,7;0,0267;0,033;0,332;0,204;0,029;17;0
VALUES;13036;CIQUAL;Fruits frais;Table Ciqual 2013;Pastèque, fraîche, pulpe;Pastèque, fraîche, pulpe;144;34;144;34;91,1;0,603;0,603;7,28;0,0833;6,29;0;0,4;0;0;0,3;0,0133;0,0167;0,0273;0;0;0;;0,00065;0,000325;0,00911;0,00325;0,011;0,0111;0,0162;0;0;0;0;0,292;12,6;10,9;179;0,765;0,0309;0,31;0,0605;0,0163;2,2;0,125;0;262;0;0,1;0,1;;8,6;0,0258;0,0228;0,152;0,26;0,0567;2,33;0
VALUES;13084;CIQUAL;Fruits frais;Table Ciqual 2013;Pêche, fraîche, pulpe;Pêche, fraîche, pulpe;229;54,2;229;54,2;88;0,7;0,7;11,3;0,25;11,3;0;2;0;0;;0,0213;0,074;0,0987;0;0;0;0;0;0;0,019;0,00233;0,074;0,0962;0,00247;0;0;0;0;2,2;9,4;19,5;210;6,1;0,062;0,272;0,073;0,144;0,11;0,9;0;116;0;0,7;;;6,6;0,017;0,041;0,99;0,17;0,018;3;0
VALUES;13043;CIQUAL;Fruits frais;Table Ciqual 2013;Pêche, fraîche, pulpe et peau;Pêche, fraîche, pulpe et peau;225;53,4;225;53,4;85,1;0,903;0,903;10,2;0,25;8,74;0;2,85;0;0;0,36;0,0213;0,074;0,0987;0;0;0;0;0;0;0,019;0,00233;0,074;0,0962;0,00247;0;0;0;0;1,11;11,2;20,6;215;7,32;0,0642;0,152;0,0747;0,118;0,28;0,55;0;162;0;1,38;2,6;;5,75;0,018;0,0403;0,635;0,162;0,025;15,5;0
VALUES;13037;CIQUAL;Fruits frais;Table Ciqual 2013;Poire, fraîche, pulpe et peau;Poire, fraîche, pulpe et peau;224;53;224;53;85,1;0,385;0,385;10,8;0,22;10,4;0;3,03;0;0;0,08;0,026;0,0453;0,0857;0;0;0;;0;0;0,0211;0,00493;0,027;0,0644;0,0213;;0;0;0;1,85;7,82;11,4;130;7,35;0,0343;0,103;0,0721;0,102;0,59;1;0;6,5;0;0,465;4,5;;5,3;0,025;0,035;0,192;0,345;0,066;6,15;0
VALUES;13040;CIQUAL;Fruits frais;Table Ciqual 2013;Pomélo (dit Pamplemousse), frais, pulpe;Pomélo (dit Pamplemousse), frais, pulpe;152;35,9;152;35,9;89,8;0,8;0,8;6,2;0,1;6,2;0;1,3;0;0;1,48;0,0287;0,0213;0,0433;0;0;0;;0;0;0,0256;0,00305;0,0213;0,0339;0,00945;0;0;0;0,15;2,65;9,15;14,3;167;23,3;0,018;0,082;0,0319;0,0612;1;0,465;0;281;0;0,213;0;;42,1;0,0387;0,029;0,241;0,277;0,046;17;0
VALUES;13039;CIQUAL;Fruits frais;Table Ciqual 2013;Pomme, fraîche, pulpe et peau;Pomme, fraîche, pulpe et peau;225;53,2;225;53,2;85,3;0,31;0,31;11,3;0,162;11,3;0;1,95;0;0;0,46;0,0391;0,00708;0,11;0;0;0;;0;0,000268;0,033;0,00577;0,00708;0,0867;0,0231;0;0;0;0;2,01;6,08;10;120;5,12;0,0405;0,123;0,0402;0,15;1,38;0,562;0;37,5;0;0,59;2,8;;6,45;0,035;0,025;0,1;0,1;0,0677;3,86;0
VALUES;13041;CIQUAL;Fruits frais;Table Ciqual 2013;Prune ReineClaude, fraîche;Prune ReineClaude, fraîche;206;48,7;206;48,7;81,9;0,8;0,8;9,6;0,28;9,6;0;2,3;0;0;;0,0435;0,108;0,117;0;0;0;0,00000719;0;0;0,0336;0,00986;0,0476;0,0782;0,0391;0;0;0;0;0,75;7,33;25,7;243;5,3;0,09;0,305;0,08;0,1;0,14;2,7;0;95;0;0,55;;;5,4;0,05;0,04;0,6;0,2;0,05;10;0
VALUES;13044;CIQUAL;Fruits frais;Table Ciqual 2013;Raisin blanc, frais;Raisin blanc, frais;297;70;297;70;82,2;0,6;0,6;16,1;0,16;16,1;0;0,9;0;0;;0,0512;0,00512;0,0474;0;0;0;0;0;0,00118;0,0441;0,00591;0,00512;0,0364;0,0109;0;0;0;0;1,07;10,3;21;212;10,1;0,068;0,35;0,115;0,06;4,5;0,5;0;;0;0,7;;;4;0,045;0,025;0,3;0,05;0,095;15;0
