STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/MP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;USDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Ash_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Calcium_(mg);Iron_(mg);Magnesium_(mg);Phosphorus_(mg);Potassium_(mg);Sodium_(mg);Zinc_(mg);Copper_mg);Manganese_(mg);Selenium_(µg);Vit_C_(mg);Thiamin_(mg);Riboflavin_(mg);Niacin_(mg);Panto_Acid_mg);Vit_B6_(mg);Folate_Tot_(µg);Folic_Acid_(µg);Food_Folate_(µg);Folate_DFE_(µg);Choline_Tot_ (mg);Vit_B12_(µg);Vit_A_IU;Vit_A_RAE;Retinol_(µg);Alpha_Carot_(µg);Beta_Carot_(µg);Beta_Crypt_(µg);Lycopene_(µg);Lut+Zea_ (µg);Vit_E_(mg);Vit_D_µg;ViVit_D_IU;Vit_K_*(µg);FA_Sat_(g);FA_Mono_(g);FA_Poly_(g);Cholestrl_(mg)
VALUES;USDA01139;70,43;185;13,87;13,27;1,08;1,35;0;0,94;60;3,64;16;208;210;138;1,33;0,062;0,038;36,9;0;0,147;0,382;0,189;1,759;0,236;76;0;76;76;263,4;5,1;650;187;185;0;13;12;0;442;1,29;1,7;66;0,4;3,595;5,747;1,672;852
VALUES;USDA01140;74,35;158;13,05;11,09;1,1;0,41;0;0,4;64;3,65;13;226;132;141;1,47;0,062;0,038;32;0;0,13;0,79;0,15;1,761;0,15;66;0;66;66;263,4;1,58;543;156;155;0;11;10;0;369;1,08;1,4;55;0,3;3,557;4,324;1,324;844
VALUES;USDA01141;72,5;171;13,68;11,88;0,79;1,15;0;;99;4,1;13;170;142;151;1,58;0,062;0,038;34,3;0;0,11;0,47;0,024;1,889;0,131;71;0;71;71;;1,69;554;166;166;;;;;;;;;;3,632;4,571;1,658;933
VALUES;USDA01144;3,86;444;55,5;13;5,84;21,8;0;21,8;326;3,16;65;478;744;800;1,82;0,207;0,08;127,7;0,8;0,226;1,76;0,577;3,384;0,143;125;0;125;125;117,6;3,52;1230;369;369;0;0;0;0;0;1,26;0;0;0,4;3,766;5,341;1,683;572
VALUES;USDA01145;17,94;717;0,85;81,11;0,04;0,06;0;0,06;24;0,02;2;24;24;11;0,09;0,016;0,004;1;0;0,005;0,034;0,042;0,11;0,003;3;0;3;3;18,8;0,17;2499;684;671;0;158;0;0;0;2,32;1,5;60;7;51,368;21,021;3,043;215
VALUES;USDA01146;25;415;37,86;27,34;6,39;3,41;0;0,9;1253;0,87;51;735;97;1696;3,19;0,037;0,023;23,9;0;0,041;0,352;0,287;0,527;0,105;8;0;8;8;15,4;1,4;865;229;223;0;73;0;0;0;0,25;0,5;21;1,9;17,37;8,734;0,661;72
VALUES;USDA01151;90,84;34;3,37;0,08;0,75;4,96;0;5,09;122;0,03;11;101;156;42;0,42;0,013;0,003;3,1;0;0,045;0,182;0,094;0,357;0,037;5;0;5;5;15,6;0,5;15;2;1;0;7;0;0;0;0,01;0;0;0;0,051;0,021;0,003;2
VALUES;USDA01152;87,71;56;3,95;1,98;0,87;5,49;0;;143;0,06;15;112;182;59;0,41;0,011;0,002;2,6;1,1;0,045;0,194;0,101;0,339;0,046;5;0;5;5;;0,39;75;17;16;;;;;;;;;;1,232;0,065;0,009;8
VALUES;USDA01153;74,04;134;6,81;7,56;1,55;10,04;0;;261;0,19;24;203;303;106;0,77;0,016;0,006;2,3;1,9;0,047;0,316;0,194;0,638;0,05;8;0;8;8;;0,16;397;;;;;;;;;;;;4,591;2,335;0,245;29
VALUES;USDA01154;3,16;362;36,16;0,77;7,93;51,98;0;51,98;1257;0,32;110;968;1794;535;4,08;0,041;0,02;27,3;6,8;0,415;1,55;0,951;3,568;0,361;50;0;50;50;169,2;4,03;2179;653;653;0;1;0;0;0;0;11;440;0,1;0,499;0,2;0,03;20
VALUES;USDA01155;3,96;358;35,1;0,72;8,03;52,19;0;52,19;1231;0,31;117;985;1705;549;4,41;0,041;0,02;27,3;5,6;0,413;1,744;0,891;3,23;0,345;50;0;50;50;167,8;3,99;15;4;4;0;1;0;0;0;0,01;0;0;0;0,47;0,19;0,03;18
VALUES;USDA01156;29,01;452;30,52;35,59;3,72;2,17;0;2,17;895;1,88;54;729;48;346;1,59;0,627;0,252;5,5;0;0,14;1,19;2,4;0,41;0,08;4;0;4;4;15,4;0,12;1745;486;478;0;91;0;0;0;0,31;0,7;26;3;24,609;8,117;0,845;105
VALUES;USDA01157;45,52;364;21,58;29,84;2,94;2,54;0;2,54;298;1,62;29;375;158;515;0,66;0,564;0,093;3,8;0;0,072;0,676;1,148;0,19;0,06;2;0;2;2;15,4;0,22;1464;407;401;0;77;0;0;0;0,26;0,5;22;2,5;20,639;6,808;0,709;79
VALUES;USDA01159;60,75;268;18,52;21,08;1,58;0,89;0;0,89;140;1,9;16;256;26;368;0,92;0,732;0,1;2,8;0;0,07;0,38;0,43;0,68;0,25;12;0;12;12;15,4;0,19;1033;288;283;0;54;0;0;0;0,18;0,4;15;1,8;14,575;4,807;0,501;46
VALUES;USDA01160;50,8;274;14;23;10,6;1,6;0;;114;3,75;10;431;117;3780;2,84;0,109;0,062;37,7;0;0,13;0,43;0,04;3,23;0,261;107;0;107;107;;2,52;1190;;401;;;;;1185;2,8;5,9;236;;7,028;8,849;3,15;955
VALUES;USDA01161;47,36;248;11,47;12,22;5,27;23,67;0;23,67;610;0,4;41;583;455;685;1,92;0,11;0,028;19,2;0,1;0,026;0,444;0,317;0,083;0,051;11;0;11;11;13,7;0,81;1457;437;437;0;0;0;0;0;0,11;0;0;1;3,711;6,243;1,738;0
VALUES;USDA01163;61,61;229;14,23;13,47;1,85;3,77;0;;476;0,39;23;306;105;132;1,96;0,026;0,099;9;0;0,027;0,196;0,19;0,233;0,055;8;4;4;11;;0,83;414;109;107;;;;;;;;;;8,721;3,563;0,484;45
VALUES;USDA01164;66,86;197;10,33;14,92;2,41;5,48;0,1;0,19;311;0,35;19;229;142;493;1,26;0,019;0,04;6,6;0,6;0,044;0,243;0,204;0,233;0,045;10;2;8;11;5,1;0,35;310;82;80;0;26;0;0;0;0,09;1;41;0,9;8,034;4,735;1,397;38
VALUES;USDA01165;38,06;373;21,44;29,98;5,89;4,63;0;4,63;680;0,47;28;444;87;1131;2,94;0,008;0,037;14,5;0;0,02;0,209;0,032;0,252;0,047;1;0;1;1;15,4;1,38;220;64;64;0;4;0;0;0;0,26;0,5;22;2,5;19,033;8,528;0,901;105
VALUES;USDA01166;42,16;356;22,6;28,26;4,11;2,87;0;2,87;661;0,51;26;443;86;655;3,02;0,026;0,036;14,5;0;0,021;0,223;0,181;0,231;0,053;8;0;8;8;15,4;1;190;55;55;0;4;0;0;0;0,24;0,5;21;2,4;17,939;8,038;0,85;105
VALUES;USDA01167;39,13;374;21,56;29,68;4,06;5,56;0;5,56;651;0,47;23;442;52;617;3,5;0,024;0,071;14,5;0;0,018;0,225;0,15;0,279;0,055;2;0;2;2;15,4;1,03;193;56;56;0;4;0;0;0;0,26;0,5;22;2,5;18,843;8,443;0,892;105
VALUES;USDA01168;63,1;173;24,35;7;3,64;1,91;0;0,52;415;0,42;16;484;66;612;1,82;0,021;0,006;14,5;0;0,012;0,221;0,051;0,183;0,045;11;0;11;11;15,4;0,49;207;60;60;0;4;0;0;0;0,06;0,1;5;0,6;4,342;2,082;0,222;21
VALUES;USDA01169;38,98;398;24,35;32,62;2,13;1,91;0;0,49;703;0,72;27;484;112;21;3,09;0,036;0,011;14,5;0;0,021;0,375;0,086;0,311;0,076;18;0;18;18;15,4;0,83;996;264;257;0;84;0;0;0;0,28;0,6;24;2,7;20,768;9,189;0,972;100
VALUES;USDA01171;75,85;148;11,95;10,2;0,95;1,05;0;;59;1,85;11;202;130;133;1,38;0,053;0,034;30,8;0;0,06;0,46;0,075;1,48;0,162;73;0;73;73;;1,07;525;158;158;;;;;;;;;;3,147;3,886;1,412;432
VALUES;USDA01172;88,55;47;9,8;0;0,6;1,05;0;;7;0,05;10;13;136;158;0,02;0,012;0,007;17,6;0;0,005;0,4;0,1;0,155;0,004;3;0;3;3;;0,06;0;0;0;;;;;;;;;;0;0;0;0
VALUES;USDA01173;5,8;382;81,1;0;5,3;7,8;0;5,4;62;0,15;88;111;1125;1280;0,1;0,114;0,007;125,1;0;0,005;2,53;0,865;0,775;0,036;18;0;18;18;;0,18;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0
