"Code AGB";"Code CIQUAL";"Groupe d'aliment";"Sous-groupe d'aliment";"Nom du Produit en Français";"LCI Name";"code saison";"code avion";"Livraison";"Matériau d'emballage";"Préparation";"DQR";"Score unique EF";"Changement climatique";"Appauvrissement de la couche d'ozone";"Rayonnements ionisants";"Formation photochimique d'ozone";"Particules fines";"Effets toxicologiques sur la santé humaine : substances non-cancérogènes";"Effets toxicologiques sur la santé humaine : substances cancérogènes";"Acidification terrestre et eaux douces";"Eutrophisation eaux douces";"Eutrophisation marine";"Eutrophisation terrestre";"Écotoxicité pour écosystèmes aquatiques d'eau douce";"Utilisation du sol";"Épuisement des ressources eau";"Épuisement des ressources énergétiques";"Épuisement des ressources minéraux";"Changement climatique - émissions biogéniques";"Changement climatique - émissions fossiles";"Changement climatique - émissions liées au changement d'affectation des sols";"CLIMATE_CHANGE";"OZONE_DEPLETION";"IONIZING_RADIATION";"PHOTOCHEMICAL_OZONE_FORMATION";"PARTICULATE_MATTER";"HUMAN_TOXICITY_NON_CANCER";"HUMAN_TOXICITY_CANCER";"ACIDIFICATION";"EUTROPHICATION_FRESHWATER";"EUTROPHICATION_MARINE";"EUTROPHICATION_TERRESTRIAL";"ECOTOXICITY_FRESHWATER";"LAND_USE";"WATER_USE";"RESOURCE_USE_FOSSILS";"RESOURCE_USE_MINERALS_METALS";"CLIMATE_CHANGE_BIOGENIC";"CLIMATE_CHANGE_FOSSIL";"CLIMATE_CHANGE_LAND_USE"
13019;13019;"fruits, légumes, légumineuses et oléagineux";"fruits";"Groseille, crue";"Red currant, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,54;2,06E-01;1,89E+00;7,06E-08;2,84E-01;6,22E-03;1,14E-07;2,66E-08;2,16E-09;9,43E-03;7,36E-04;4,30E-03;3,05E-02;2,27E+01;2,66E+01;1,24E+00;3,28E+01;1,80E-05;7,82E-02;1,81E+00;1,30E-03;1,89E+00;7,06E-08;2,84E-01;6,22E-03;1,14E-07;2,66E-08;2,16E-09;9,43E-03;7,36E-04;4,30E-03;3,05E-02;2,27E+01;2,66E+01;1,24E+00;3,28E+01;1,80E-05;7,82E-02;1,81E+00;1,30E-03
13066;13066;"fruits, légumes, légumineuses et oléagineux";"fruits";"Kaki, pulpe, cru";"Persimmon, pulp, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,49;1,03E-01;9,50E-01;2,27E-08;2,68E-02;4,37E-03;4,79E-08;1,76E-08;4,19E-10;5,31E-03;1,31E-04;5,23E-03;1,83E-02;3,06E+01;1,38E+01;1,47E+00;1,01E+01;4,83E-06;7,67E-02;7,97E-01;7,63E-02;9,50E-01;2,27E-08;2,68E-02;4,37E-03;4,79E-08;1,76E-08;4,19E-10;5,31E-03;1,31E-04;5,23E-03;1,83E-02;3,06E+01;1,38E+01;1,47E+00;1,01E+01;4,83E-06;7,67E-02;7,97E-01;7,63E-02
13021;13021;"fruits, légumes, légumineuses et oléagineux";"fruits";"Kiwi, pulpe et graines, cru";"Kiwi fruit, pulp and seeds, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";1,94;1,26E-01;1,00E+00;2,59E-08;1,09E-01;5,36E-03;6,10E-08;3,85E-08;8,27E-10;7,88E-03;2,20E-04;2,92E-03;2,64E-02;1,00E+01;4,42E+01;2,73E+00;1,17E+01;7,91E-06;1,05E-01;8,96E-01;9,13E-04;1,00E+00;2,59E-08;1,09E-01;5,36E-03;6,10E-08;3,85E-08;8,27E-10;7,88E-03;2,20E-04;2,92E-03;2,64E-02;1,00E+01;4,42E+01;2,73E+00;1,17E+01;7,91E-06;1,05E-01;8,96E-01;9,13E-04
13549;13549;"fruits, légumes, légumineuses et oléagineux";"fruits";"Kumquat, sans pépin, cru";"Kumquat, without pips, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,89;1,47E-01;5,77E-01;2,21E-08;5,36E-02;2,62E-03;4,83E-08;2,49E-08;3,44E-10;5,28E-03;9,79E-05;1,46E-03;2,19E-02;1,53E+01;2,64E+01;1,09E+01;7,06E+00;3,21E-06;8,08E-02;5,50E-01;-5,42E-02;5,77E-01;2,21E-08;5,36E-02;2,62E-03;4,83E-08;2,49E-08;3,44E-10;5,28E-03;9,79E-05;1,46E-03;2,19E-02;1,53E+01;2,64E+01;1,09E+01;7,06E+00;3,21E-06;8,08E-02;5,50E-01;-5,42E-02
13023;13023;"fruits, légumes, légumineuses et oléagineux";"fruits";"Litchi, pulpe, cru";"Lychee, pulp, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,33;6,67E-02;5,54E-01;2,28E-08;6,26E-02;2,05E-03;4,46E-08;9,54E-09;2,74E-10;4,13E-03;7,87E-05;6,81E-04;1,51E-02;1,62E+01;3,08E+01;9,55E-01;6,64E+00;4,57E-06;7,77E-02;4,75E-01;1,18E-03;5,54E-01;2,28E-08;6,26E-02;2,05E-03;4,46E-08;9,54E-09;2,74E-10;4,13E-03;7,87E-05;6,81E-04;1,51E-02;1,62E+01;3,08E+01;9,55E-01;6,64E+00;4,57E-06;7,77E-02;4,75E-01;1,18E-03
13708;13708;"fruits, légumes, légumineuses et oléagineux";"fruits";"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté";"Fruit cocktail or salad, canned in light syrup, drained";2;0;"Ambiant (long)";"PACK AGB";"Pas de préparation";2,41;2,21E-01;1,20E+00;3,04E-08;1,45E+00;4,45E-03;7,71E-08;3,44E-08;5,21E-09;5,25E-03;3,25E-04;6,82E-03;1,53E-02;2,44E+01;1,00E+02;5,02E+00;4,22E+01;6,26E-06;1,21E-01;1,08E+00;-8,73E-03;1,20E+00;3,04E-08;1,45E+00;4,45E-03;7,71E-08;3,44E-08;5,21E-09;5,25E-03;3,25E-04;6,82E-03;1,53E-02;2,44E+01;1,00E+02;5,02E+00;4,22E+01;6,26E-06;1,21E-01;1,08E+00;-8,73E-03
13709;13709;"fruits, légumes, légumineuses et oléagineux";"fruits";"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté";"Fruit cocktail or salad, canned in light syrup, not drained";2;0;"Ambiant (long)";"PACK AGB";"Pas de préparation";2,41;1,34E-01;7,25E-01;1,84E-08;8,80E-01;2,70E-03;4,67E-08;2,09E-08;3,16E-09;3,18E-03;1,97E-04;4,13E-03;9,26E-03;1,47E+01;6,08E+01;3,05E+00;2,56E+01;3,79E-06;7,32E-02;6,57E-01;-5,29E-03;7,25E-01;1,84E-08;8,80E-01;2,70E-03;4,67E-08;2,09E-08;3,16E-09;3,18E-03;1,97E-04;4,13E-03;9,26E-03;1,47E+01;6,08E+01;3,05E+00;2,56E+01;3,79E-06;7,32E-02;6,57E-01;-5,29E-03
13706;13706;"fruits, légumes, légumineuses et oléagineux";"fruits";"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté";"Fruit cocktail or salad, canned in syrup, drained";2;0;"Ambiant (long)";"PACK AGB";"Pas de préparation";2,27;2,38E-01;1,38E+00;3,29E-08;1,46E+00;5,19E-03;9,05E-08;3,49E-08;5,28E-09;6,76E-03;3,95E-04;6,77E-03;2,03E-02;2,71E+01;9,22E+01;4,98E+00;4,43E+01;8,61E-06;1,08E-01;1,26E+00;4,15E-03;1,38E+00;3,29E-08;1,46E+00;5,19E-03;9,05E-08;3,49E-08;5,28E-09;6,76E-03;3,95E-04;6,77E-03;2,03E-02;2,71E+01;9,22E+01;4,98E+00;4,43E+01;8,61E-06;1,08E-01;1,26E+00;4,15E-03
13707;13707;"fruits, légumes, légumineuses et oléagineux";"fruits";"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté";"Fruit cocktail or salad, canned in syrup, not drained";2;0;"Ambiant (long)";"PACK AGB";"Pas de préparation";2,41;1,34E-01;7,25E-01;1,84E-08;8,80E-01;2,70E-03;4,67E-08;2,09E-08;3,16E-09;3,18E-03;1,97E-04;4,13E-03;9,26E-03;1,47E+01;6,08E+01;3,05E+00;2,56E+01;3,79E-06;7,32E-02;6,57E-01;-5,29E-03;7,25E-01;1,84E-08;8,80E-01;2,70E-03;4,67E-08;2,09E-08;3,16E-09;3,18E-03;1,97E-04;4,13E-03;9,26E-03;1,47E+01;6,08E+01;3,05E+00;2,56E+01;3,79E-06;7,32E-02;6,57E-01;-5,29E-03
"13024_1";13024;"fruits, légumes, légumineuses et oléagineux";"fruits";"Mandarine, pulpe, crue";"Mandarin, pulp, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";2,74;1,48E-01;4,68E-01;2,52E-08;5,40E-02;2,70E-03;5,25E-08;1,30E-08;3,00E-10;5,51E-03;9,50E-05;1,47E-03;2,19E-02;2,71E+01;2,67E+01;1,09E+01;7,45E+00;3,30E-06;8,08E-02;5,58E-01;-1,70E-01;4,68E-01;2,52E-08;5,40E-02;2,70E-03;5,25E-08;1,30E-08;3,00E-10;5,51E-03;9,50E-05;1,47E-03;2,19E-02;2,71E+01;2,67E+01;1,09E+01;7,45E+00;3,30E-06;8,08E-02;5,58E-01;-1,70E-01
