STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;
#;;Crude protein;"""by-pass"" protein, or undegraded intake protein";ether extract;crude fiber;acid detergent fiber ;neutral detergent fiber;Cendre;Calcium;Phosphore;Potassium;Soufre;Zinc;Total digestible nutrient;Digestible energy;Net Energy for maintenance;Net Engergy for growth;Dry matter
#;;"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
G/100g";"TDN
%";"DE
Kcal/100g
";"NEm
Kcal/100g";"NEg
Kcal/100g";"DM
%"
COLUMNS;bcpg:code;CP;UID;EE;CF;ADF;NDF;Ash;Calcium;Phosphore;Potassium;Soufre;Zinc;TDN;DE;NE m;NE g;DM
VALUES;FEED122;5;;2.1;33;;;10;0.4;0.11;1.2;;;54;238,1;116,85;44,09;85
VALUES;FEED123;8;50;2.8;26;28;39;7;0.3;0.15;1.6;0.09;2,4;58;255,74;125,66;57,32;28
VALUES;FEED124;15;;2.2;37;;;8;1.3;0.32;1.0;0.24;2,4;52;229,28;112,44;35,27;89
VALUES;FEED125;5;;1.4;44;54;70;6;1.6;0.06;0.6;0.26;;42;185,19;92,59;0;88
VALUES;FEED126;42;40;19.2;6;10;;5;0.3;0.63;1.8;0.24;6;92;405,65;224,87;154,32;91
VALUES;FEED127;50;35;1.3;6;10;14;7;0.3;0.75;2.2;0.40;5,2;84;370,38;200,62;134,48;89
VALUES;FEED128;55;25;1.2;3;6;10;6;0.3;0.71;2.2;0.42;6,1;87;383,6;209,44;141,1;90
VALUES;FEED129;12;10;2.8;39;47;65;4;0.6;0.17;1.0;0.09;2,4;71;313,06;160,94;101,41;91
VALUES;FEED130;17;;3.9;23;29;55;9;0.5;0.31;2.0;0.04;;70;308,65;158,73;97;18
VALUES;FEED131;9;;1.8;36;43;68;10;0.4;0.30;2.1;0.06;3;57;251,33;123,46;55,12;89
VALUES;FEED132;10;;3.1;34;42;65;10;0.4;0.25;3.5;0.05;;55;242,51;119,05;46,3;23
VALUES;FEED133;50;;3.1;12;;40;8;0.5;0.80;1.1;0.33;2,1;65;286,6;143,3;81,57;93
VALUES;FEED134;32;;1.4;27;;;7;0.4;0.96;1.1;0.30;10;57;251,33;123,46;55,12;91
VALUES;FEED135;5;;2.2;25;63;;3;0.0;0.11;;;;40;176,37;90,39;0;90
VALUES;FEED136;11;20;3.8;32;37;64;7;0.4;0.28;2.1;0.21;2,4;64;282,19;141,1;79,37;26
VALUES;FEED137;12;25;2.6;33;43;68;6;0.5;0.25;0.9;0.21;;59;260,15;127,87;61,73;88
VALUES;FEED138;8;35;2.5;34;45;70;5;0.4;0.20;1.6;0.13;1,7;57;251,33;123,46;55,12;88
VALUES;FEED139;10;25;3.4;35;;;7;0.6;0.29;1.7;0.15;;59;260,15;127,87;61,73;34
VALUES;FEED140;23;;10.6;26;50;55;6;0.4;0.59;3.6;;;64;282,19;141,1;79,37;92
VALUES;FEED141;12;;;;;;;;;;;;;0;0;0;38
VALUES;FEED142;16;25;4.6;4;;;2;0.1;0.34;0.4;0.17;;86;379,2;207,23;138,89;90
VALUES;FEED143;288;0;0.0;0;0;0;0;0.0;0.00;0.0;0.00;0;0;0;0;0;99
VALUES;FEED144;28;;4.0;18;30;52;14;0.4;0.40;3.3;0.22;;69;304,24;154,32;94,8;21
VALUES;FEED145;10;;3.2;28;;;8;0.3;0.27;1.2;0.23;2,5;60;264,55;130,07;66,14;28
VALUES;FEED146;4;;1.5;42;56;85;7;0.2;0.08;1.2;0.14;0,7;44;194,01;94,8;2,2;88
VALUES;FEED147;13;25;2.1;3;4;13;2;0.0;0.35;0.4;0.17;1,7;89;392,42;216,05;147,71;89
VALUES;FEED148;14;;2.0;3;6;;2;0.1;0.45;0.5;0.17;1,6;89;392,42;216,05;147,71;89
VALUES;FEED149;12;;2.0;3;4;14;2;0.1;0.35;0.4;0.17;1,6;89;392,42;216,05;147,71;89
VALUES;FEED150;18;;4.8;11;14;47;7;0.1;1.30;1.4;0.25;10,5;70;308,65;158,73;97;89
VALUES;FEED151;18;50;3.9;3;;37;3;0.1;0.90;1.1;0.20;7,2;90;396,83;218,26;149,91;88
VALUES;FEED152;17;20;4.7;9;;;6;0.1;1.10;1.4;0.28;;75;330,69;171,96;110,23;90
VALUES;FEED153;20;20;5.4;7;;;5;0.1;0.99;1.1;0.19;11,8;80;352,74;187,39;123,46;89
VALUES;FEED154;11;;1.6;26;;;7;0.3;0.30;;;;60;264,55;130,07;66,14;37
VALUES;FEED155;10;;1.6;33;;;7;0.4;0.28;;;;55;242,51;119,05;46,3;50
VALUES;FEED156;11;;2.4;33;36;;7;0.3;0.15;2.0;;3,2;54;238,1;116,85;44,09;92
VALUES;FEED157;16;0;0.9;0;0;0;10;1.0;0.81;1.5;1.10;0,3;82;361,56;194,01;130,07;96
